All,Sve
"Please enter the password to confirm rollback.","Molimo vas da unesete lozinku radi potvrde vraćanja na prethodno stanje."
"This action cannot be undone.","Ovu akciju nije moguće opozvati."
"User Password","Korisnička lozinka"
"Please put your store into maintenance mode during rollback processing.","Molim vas, stavite vašu prodavnicu u režim održavanja za vreme vraćanja na prethodno stanje."
"Use FTP Connection","Koristite FTP vezu"
"FTP credentials","Akreditivi za FTP"
"FTP Host","FTP Domaćin"
"FTP Login","FTP prijava"
"FTP Password","FTP lozinka"
"Magento root directory","Magento korenski direktorijum"
"Create Backup","Kreiranje rezervne kopije"
Rollback,"Vraćanje na prethodno stanje"
"Scheduled Backup Settings","Planirano pravljenje rezervne kopije"
"Enable Scheduled Backup","Omogući planirano pravljenje rezervne kopije"
"Backup Type","Tip rezervne kopije"
Frequency,Učestalost
"Maintenance Mode","Režim Održavanja"
"Are you sure you want to delete the selected backup(s)?","Sigurni ste da želite da izbrišete izabran(e) backup(e)?"
Size(bytes),Veličina(bytes)
Type,Tip
Download,Preuzimanje
"Backup functionality is disabled","Funkcionalnost rezervna kopija je isključena"
"Backup Settings","Podešavanja Rezervne Kopije"
"Enable Backup","Omogući Ređervnu Kopiju"
"Scheduled Backup Type","Zakazani Tip Rezervne Kopije"
"Disabled by default for security reasons","Ugašeno iz bezbednosnih razloga"
Banners,"Reklamni natpisi"
"Add Banner","Dodaj reklamni natpisi"
"Save Banner","Sačuvaj reklamni natpisi"
"Delete Banner","Izbrišite reklamni natpisi"
"Save and Continue Edit","Sačuvaj i nastavi uređivanje"
"New Banner","Novi reklamni natpis"
"Default Content","Podrazumevani sadržaj"
"No Default Content","Nema podrazumevanog sadržaja"
"Banner Default Content for All Store Views","Podrazumevani sadržaj banera za sve izglede prodavnica"
"Store View Specific Content","Specifičan sadržaj prikaza prodavnice"
"Use Default","Koristi podrazumevano"
"Related Promotions","Srodne promocije"
Rule,Pravilo
"Start Date","Početni datum"
"End Date","Krajnji datum"
"Banner Properties","Svojstva reklamnog natpisa"
"Banner Name","Ime reklamnog natpisa"
Active,Aktivan
Inactive,Neaktivan
"Applies To","Odnosi se na"
"Any Banner Type","Bilo koja vrsta reklamnog natpisa"
"Specified Banner Types","Posebni tipovi reklamnog natpisa"
"Specify Types","Opisati vrste"
"Banner Information","Informacije o reklamnim natpisima"
Banner,"Reklamni natpis"
"Banner Type","Tip reklamnog natpisa"
Visibility,Vidljivost
"Are you sure you want to delete these banners?","Jeste li sigurni da želite da obrišete ove reklamne natpise?"
"Related Banners","Srodni reklamni natpisi"
Position,Pozicija
"This rule no longer exists.","Ovo pravilo se više ne postoji."
"This banner does not exist.","Ovaj reklamni natpis više ne postoji."
"You deleted the banner.","Obrisali ste ovaj reklamni natpis."
"Something went wrong while deleting banner data. Please review the action log and try again.","Došlo je do greške prilikom brisanja podataka o reklamnom natpisu. Molimo pogledajte dnevnik aktivnosti i pokušajte ponovo."
"We cannot find a banner to delete.","Ne može se pronaći reklamni natpis za brisanje."
"This banner no longer exists.","Ovaj reklamni natpis više ne postoji."
"Edit Banner","Izmeniti reklamni natpis"
"Please select a banner(s).","Molimo izaberite reklamni natpis(e)."
"You deleted %1 record(s).","Izbrisali ste %1 zapis(a)."
"Something went wrong while mass-deleting banners. Please review the action log and try again.","Došlo je do greške prilikom masovnog brisanja reklamnih natpisa. Molimo pogledajte dnevnik aktivnosti i pokušajte ponovo."
"You saved the banner.","Sačuvali ste ovaj reklamni natpis."
"We cannot save the banner.","Ovaj reklamni natpis se ne može sačuvati."
"Please enter a name.","Molimo ukucajte naziv."
"Please specify default content for at least one store view.","Navesti podrazumevani sadržaj za prikaz barem jedne prodavnice."
"-- None --",--Nijedan--
"Related Cart Price Rules","Srodna pravila kolica cena"
"Related Catalog Price Rules","Srodna pravila kataloga cena"
"Content Area","Oblasti sa sadržajem"
Footer,"Podnožje stranice"
Header,Zaglavlje
"Left Column","Leva kolona"
"Right Column","Desna kolona"
"Manage Banners","Upravljanje reklamnim natpisima"
"Banner Rotator","Rotator reklamnog natpisa"
"Displays Specified or Promotion Banners","Prikazuje navedeni ili promovisani reklamni natpis"
"Banners to Display","Baneri za prikaz"
"Specified Banners","Posebni reklamni natpisi"
"Shopping Cart Promotions Related","Povezane promocije kupovine"
"Catalog Promotions Related","Povezane promocije po katalogu"
"Restrict by Banner Types","Ograničavanje po vrstama reklamnog natpisa"
"Rotation Mode","Režim rotacije"
"Display all instead of rotating","Prikažite sve, umesto rotiranjem"
"One at the time, Random","Jedan po jedan, nasumice"
"One at the time, Series","Jedan po jedan, poređano"
"One at the time, Shuffle","Jedan po jedan, nasumice"
"Specify Banners","Navedite Banere"
"Banner Block Template","Blok šablona banera"
"Banner Inline Template","Umetnut šablon banera"
"Dynamic Blocks","Dinamični Blokovi"
"Add Dynamic Block","Dodaj Dinamični Blok"
"Save Dynamic Block","Sačuvaj dinamični blok"
"Delete Dynamic Block","Obriši Dinamični Blok"
"New Dynamic Block","Novi Dinamični Blok"
"Dynamic Block Default Content for All Store Views","Default Sadržaj za Prikaz Prodavnice"
"Dynamic Block Properties","Podaešavanja Dinamičnog Bloka"
"Dynamic Block Name","Naziv Dinamičnog Bloka"
"Any Dynamic Block Type","Bilo koji tip Dinamičnog Bloka"
"Specified Dynamic Block Types","Određeni tip Dinamičnog Bloka"
"Dynamic Block Information","Informacije Dinamičnog Bloka"
"Dynamic Block","Dinamični Blokov"
"Dynamic Block Type","Tip Dinamičnog Bloka"
"Are you sure you want to delete these dynamic blocks?","Da li ste sigurni da želite da obrišete ove dinamične blokove?"
"Related Dynamic Blocks","Povezani Dinamični Blokovi"
"You deleted the dynamic block.","Obrisali ste dinamični Blok."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Došlo je do greške prilikom brisanja podataka o dinamičnom bloku. Molimo pogledajte dnevnik aktivnosti i pokušajte ponovo."
"We cannot find a dynamic block to delete.","Nemožemo pronaći dinamični blok za brisanje."
"This dynamic block no longer exists.","Dinamični blok više nepostoji."
"Edit Dynamic Block","Uredi Dinamični Blok"
"Please select a dynamic block(s).","Izaberi dinamični blok(ove)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Došlo je do greške prilikom brisanja većeg broja dinamičnih blokova. Molimo pogledajte dnevnik aktivnosti i pokušajte ponovo."
"This dynamic block does not exist.","Dinamični blok više nepostoji."
"You saved the dynamic block.","Sačuvali ste dinamični Blok."
"We cannot save the dynamic block.","Ne moćemo sačuvati dinamični blok."
"Manage Dynamic Blocks","Upravljaj Dinamičnim Blokovima"
"Dynamic Blocks Rotator","Rotator Dinamičnih Blokova"
"Displays Specified or Promotion Dynamic Blocks","Prikazuje navedeni ili promovisani Dinamični Blok"
"Dynamic Blocks to Display","Dinamični Blok za Prikaz"
"Specified Dynamic Blocks","Određeni tip Dinamičnog Bloka"
"Restrict by Dynamic Block Types","Ograničeno od strane tipa Sinamičnog Bloka"
"Specify Dynamic Blocks","Odredi Tip Dinamičnog Bloka"
"Dynamic Block Template","Šablon Dinamičnog Bloka"
"Dynamic Block Inline Template","Linijski Šablon Dinamičnog Bloka"
"Status Label","Statusna Labela"
"General Information","Opšte informacije"
"Enable Dynamic Block","Uključi Dinamični Blok"
"Use Default Value","Koristite podrazumevane vrednosti"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Pravila cena u korpi omogućavaju vam da napravite promocije za artikle u korpi."
"Add Cart Price Rules","Dodaj Pravila Cena U Korpi"
"Related Catalog Price Rule","Srodna pravila kataloga cena"
"Catalog price rules allows you to setup promotions for an items in catalog.","Pravila cena u kategoriji omogućavaju vam da napravite promocije za artikle u korpi."
"Add Selected","Dodavanje izabrane"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Proverite da rotator dinamičnog bloka ne navodi dinmični blok."
"Cart Price Rule Related","Pravila Cena Povezane Korpe"
"Catalog Price Rule Related","Pravila Cena Povezane Kategorije"
"All Segments","Svi Segmenti"
"Customer Segment","Korisnički Segment"
"Allowed Credit Card Types","Dozvoljene vrste kreditnih kartica"
"Add Rule","Dodati pravilo"
"Braintree Settlement Report","Podešavanje izveštaja Braintree"
"Sorry, but something went wrong","Izvinite, došlo je do greške"
"No authorization transaction to proceed capture.","Nema autorizovane transakcije za nastavak prihvatanja."
"Braintree error response.","Odgovor greška Braintree."
"Payment method nonce can't be retrieved.","Trenutni način plaćanja nije moguće preuzeti."
"Wrong transaction status","Nepoznat status transakcije"
Authorize,Odobriti
ending,krajnji
expires,ističe
"Please agree to all the terms and conditions before placing the order.","Molimo pristanite na sva pravila i uslove pre narudžbine."
"Please, enter valid Credit Card Number","Molimo unesite važeći broj kreditne kartice"
"Please, enter valid Expiration Date","Molimo unesite važeći datum isteka"
"Please, enter valid Card Verification Number","Molimo unesite važeći broj za verifikaciju kreditne kartice"
"Are you sure you want to delete this PayPal account","Da li ste sigurni da želite da obrišete ovaj PayPal nalog"
"PayPal Account","PayPal nalog"
"Credit Card Information","Informacije o kreditnoj kartici"
"Save for later use.","Sačuvati za kasniju upotrebu."
"This payment is not available","Ovo plaćanje nije raspoloživo"
"Please try again with another form of payment.","Pokušajte ponovo sa drugim oblikom plaćanja."
"Sorry, but something went wrong.","Izvinite, došlo je do greške."
"Payment ","Plaćanje "
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Prihvatite kreditne/debitne kartice i PayPal u prodavnici Magento.<br/>Nema naknade za instalaciju ili mesečnih troškova i vaši kupci nikada neće napustiti vašu prodavnicu da bi dovršili kupovinu."
"Enable this Solution","Omogućiti ovo rešenje"
"Enable PayPal through Braintree","Omogući PayPal kroz Braintree"
"Vault Enabled","Trezor omogućen"
"Basic Braintree Settings","Osnovne postavke Braintree"
"Merchant ID","ID trgovca"
"Public Key","Javni ključ"
"Private Key","Privatni ključ"
"Advanced Braintree Settings","Napredno podešavanje Braintree"
"Vault Title","Naziv trezora"
"Merchant Account ID","ID trgovačkog naloga"
"Advanced Fraud Protection","Napredna zaštita od prevare"
"Kount Merchant ID","Trgovački ID broj"
"CVV Verification","CVV verifikacija"
"Country Specific Settings","Specifične postavke zemlje"
"Country Specific Credit Card Types","Tipovi kreditne kartice određene zemlje"
"PayPal through Braintree","Omogući PayPal kroz Braintree"
"Override Merchant Name","Preskoći ime trgovca"
"Require Customer's Billing Address","Zahtevaj adresu kupca za račun"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Dozvoli uređivanje adrese za isporuku tokom plaćanje na stranici PayPal-a"
"Display on Shopping Cart","Prikaži u korpi sa kupljenim artiklima"
"Skip Order Review","Preskoći pregled porudžbine"
"3D Secure Verification Settings","3D podešavanje sigurnosti provere"
"3D Secure Verification","3D sigurnosna provera"
"Threshold Amount","Prag računa"
"Verify for Applicable Countries","Proveriti da li je primenljivo za države"
"Verify for Specific Countries","Proveri za određene države"
"Dynamic Descriptors","Dinamički opisi"
Phone,Telefon
"Last name is too long.","Prezime je predugačko."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Primenite filtere da biste dobili rezultate. Samo prvih 100 zapisa će biti prikazano u tabeli, a vama će biti omogućeno da preuzmete pun izveštaj u .csv formatu."
Select...,Izabrati...
"Transaction Type","Vrsta transakcije"
"Payment Type","Vrsta plaćanja"
"PayPal Payment ID","ID PayPal plaćanja"
"Created At",Kreirano
"Transaction ID","ID тransakcije"
"Order ID","ID porudžbine"
Amount,Iznos
"Settlement Code","Šifra grada"
"Settlement Response Text","Tekst za sudsko poravnanje"
"Refund Ids","Id-ovi za povrat novca"
"Settlement Batch ID","ID podmetnutog poravnanja"
Month,Mesec
Year,Godina
"* Required Fields","* Obavezna polja"
"Is Default","Je podrazumevano"
"Paypal account","PayPal nalog"
"Coinbase account","Coinbase račun"
"Europe bank account","Račun u banci u Evropi"
"Credit card","Kreditna kartica"
"Apple pay card","Apple platna kartica"
"Android pay card","Android platna kartica"
"Authorization expired","Odorenje je isteklo"
Authorizing,Odobravanje
Authorized,Odobren
"Gateway rejected","Prolaz je odbacio"
Failed,"Nije uspelo"
"Processor declined","Obrada je odbila"
Settled,Dogovoreno
Settling,Rešavanja
"Submitted for settlement","Prijavljen za dogovor"
Voided,Poništen
Unrecognized,"Nije prepoznat"
"Settlement declined","Dogovor odbijen"
"Settlement pending","Dogovor na čekanju"
"Settlement confirmed","Dogovor potvrđen"
Sale,Prodaja
Credit,Kredit
"Percent Discount","Procenat popusta"
"-- Select --",--Izaberite--
Dynamic,Dinamički
Fixed,Fiksno
"Create New Option","Kreirajte novu opciju"
"Bundle Items","Artikli u paketu"
"Add Products to Option","Dodati opcije za proizvode"
"Delete Option","Opcija brisanja"
"What are you looking for?","Šta tražite?"
"There is no defined renderer for ""%1"" option type.","Nema definisanih pruženih usluga za opciju tipa „%1”."
"Only implemented for bundle product","Primenljivo je samo za paket proizvoda"
"Product with specified sku: ""%1"" is not a bundle product","Proizvod sa određenom šifrom ""%1"" nije proizvod u paketu"
"Bundle product could not contain another composite product","Paket proizvod ne sadrži drugi složen proizvod"
"Id field of product link is required","Id polje link proizvoda je obavezan"
"Can not find product link with id ""%1""","Ne može se pronaći link sa id ''%1''"
"Could not save child: ""%1""","Ne može se sačuvati veza: ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Proizvod sa navedenom šifrom: „%1” ne sadrži opciju: „%2”"
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Dete sa navedenom šifrom: ""%1"" je već dodeljen proizvodu: ""%2"""
"Product with specified sku: %1 is not a bundle product","Proizvod sa navedenom šifrom ""%1"" nije paket prozvod"
"%fieldName is a required field.","%field naziv je obavezno polje."
"Cannot delete option with id %1","Nije moguće izbrisati opciju sa id %1"
"Could not save option","Ne može sačuvati opciju"
"Price Range","Cenovni rang"
"As Low as",Sniženje
Together,Zajedno
Separately,Posebno
"Please specify product option(s).","Molim vas da navedete opciju(e) proizvoda."
"The options you selected are not available.","Opcije koje ste izabrali nisu dostupne."
"The required options you selected are not available.","Obavezne opcije koje ste izabrali nisu dostupne."
"Please select all required options.","Molimo izaberite sve obavezne opcije."
N/A,"N/A - nije dostupno"
Percent,Procenat
"We can't save custom-defined options for bundles with dynamic pricing.","Mi ne možemo da sačuvamo korisnički prilagođene opcije za pakete sa dinamičkim cenama."
"Add Selected Products","Dodati izabrane proizvode"
"Add Option","Dodati opciju"
"New Option","Nova opcija"
"Option Title","Naziv opcije"
"Default Title","Podrazumevani naslov"
"Store View Title","Naslov izgleda prodavnice"
"Input Type","Vrsta unosa"
Drop-down,Padajuće
"Radio Buttons","Radio dugmići"
Checkbox,"Polje za potvrdu"
"Multiple Select","Izbor više stavki"
Required,Obavezno
"Default Quantity","Podrazumevana količina"
"User Defined","Korisnički definisane"
"Price Type","Vrstu cena"
Quantity:,Količina:
"Choose a selection...","Odaberite selekciju..."
"Ship Bundle Items","Isporuka artikala u paketu"
"There are no products in this option.","Nema proizvoda u listi opcija."
Default,Podrazumevani
Ordered,Porućeno
Invoiced,Faktura
Shipped,Isporučeno
Refunded,"Povraćen novac"
Canceled,Otkazano
"As low as",Sniženje
"Regular Price","Redovna cena"
"Buy %1 with %2 discount each","Kupi %1 sa %2 popustom za svaki"
"Go back to product details","Vrati se na detalje o proizvodu"
"Customize and Add to Cart","Prilagodi i Dodaj u korpu"
"Your Customization","Vaše prilagođavanje"
Availability,Dostupnost
"In stock","Na stanju"
"Out of stock","Nema na lageru"
Availability:,Dostupnost:
"Customize %1","Prilagodi %1"
"No options of this product are available.","Ni jedna opcija za ovaj proizvod nije dostupna."
"Gift Message","Poklon poruka"
From:,Od:
To:,Za:
Message:,Poruka:
"Product Name","Naziv proizvoda"
"Discount Amount","Iznos popusta"
"Row Total","Red ukupno"
"Qty Invoiced","Fakturisana kol."
"Qty Shipped","Isporučena kol."
"Add Products to New Option","Dodavanje proizvoda u novu opciju"
"Add Products to Option ""%1""","Dodavanje proizvoda na opciju „%1”"
"Special Price","Posebna cena"
Always,Uvek
"After number of attempts to login","Nakon broja pokušaja da se prijavi"
"Provided form does not exist","Navedeni obrazac ne postoji"
"Incorrect CAPTCHA","Neispravna CAPTCHA"
"Incorrect CAPTCHA.","Neispravna CAPTCHA."
"The account is locked. Please wait and try again or contact %1.","Ovaj nalog je zaključan. Molimo sačekajte i pokušajte ponovo ili spojite %1."
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Pažnja</strong>: Captcha je osetljiva na mala i velika slova."
"Reload captcha","Osveži captcha kod"
"Attention: Captcha is case sensitive.","Pažnja: Captcha je osetljiva na mala i velika slova."
"Enable CAPTCHA in Admin","Omogući unesite CAPTCHA u Adminu"
Forms,Forme
"Displaying Mode","Režim prikaza"
"Number of Unsuccessful Attempts to Login","Broj neuspešnih pokušaja da za prijavljivanje"
"Number of Symbols","Broj simbola"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Molimo navesti najviše 8 simbola. Raspon dovoljen (na primer 3-5)"
"Please enter the letters from the image","Molimo unesite slova sa slike"
"Please type the letters below","Otkucajte slova ispod"
Root,Početak
"Use Config Settings","Koristi konfiguraciona podešavanja"
"Use All Available Attributes","Koristi sve raspoložive atribute"
"Add Subcategory","Dodati podkategoriju"
"Add Root Category","Dodavanje kategorije koren"
Day,Dan
"<label class=""label""><span>from</span></label>","<label class=""label""><span>od</span></label>"
"<label class=""label""><span>to</span></label>","<label class=""label""><span>za</span></label>"
"[STORE VIEW]","[PRIKAZ PRODAVNICE]"
"WYSIWYG Editor","Editor Šta vidiš to dobiješ"
"Add Product","Dodaj Proizvod"
"Product Attributes","Atributi proizvoda"
"Add New Attribute","Dodavanje novih atributa"
"Save Attribute","Sačuvati atribut"
"Save in New Attribute Set","Sačuvati u novi komplet atributa"
"Enter Name for New Attribute Set","Unesite ime za novi komplet atributa"
"Delete Attribute","Izbrisati atribut"
"Edit Product Attribute ""%1""","Uređivanje proizvoda atribut „%1”"
"New Product Attribute","Novi atributi proizvoda"
"Advanced Attribute Properties","Svojstva naprednih atributa"
"Attribute Code","Kod atributa"
"Default Value","Podrazumevane vrednosti"
"Unique Value","Jedinstvena vrednost"
"Unique Value (not shared with other products)","Jedinstvena vrednost (ne deli se sa drugim proizvodima)"
"Not shared with other products.","Ne deli se sa drugim proizvodima."
"Input Validation for Store Owner","Ulazna validnost za vlasnika radnje"
"Add to Column Options","Dodavanje opcije kolone"
"Select ""Yes"" to add this attribute to the list of column options in the product grid.","Izaberite opciju „Da” da biste dodali ovaj atribut listu opcija kolone u tablici proizvoda."
"Use in Filter Options","Koristi opcije u filteru"
"Select ""Yes"" to add this attribute to the list of filter options in the product grid.","Izaberite opciju „Da” da biste dodali ovaj atribut listi opcija filtera u tablici proizvoda."
Website,"Web sajt"
Global,Globalno
Scope,Opseg
"Declare attribute value saving scope.","Deklariši vrednost atributa čuvanja opsega."
"Storefront Properties","Osobine izloga prodavnice"
"Use in Search","Koristiti u pretrazi"
"Visible in Advanced Search","Vidljivo u naprednoj pretrazi"
"Comparable on Storefront","Uporedivo na izlogu prodavnice"
"Use for Promo Rule Conditions","Koristi za uslove Promo pravila"
"Enable WYSIWYG","Omogućiti – WYSIWYG"
"Allow HTML Tags on Storefront","Dozvoli HTML oznake na izlogu"
"Visible on Catalog Pages on Storefront","Vidljivo na stranicama izlog kataloga"
"Used in Product Listing","Koristi se u listingu proizvoda"
"Depends on design theme.","Zavisi od dizajna teme."
"Used for Sorting in Product Listing","Koriste se za sortiranje u listingu proizvoda"
"Media Image","Slika medija"
Gallery,Galerija
"System Properties","Osobine sistema"
"Data Type for Saving in Database","Tip podataka za čuvanje u bazi podataka"
Text,Tekst
Decimal,"Decimalni broj"
Integer,"Ceo broj"
"Globally Editable","Globalno se može uređivati"
"Attribute Information","Atribut informacije"
Properties,Svojstva
"Manage Labels","Upravljanje oznakama"
Visible,Vidljivo
Searchable,"Mogu se pretraživati"
Comparable,Uporedivo
"Delete Selected Group","Izbriši izabrane grupe"
"You are about to delete all products in this attribute set. Are you sure you want to do that?","Ako nastavite, izbrisaćete sve proizvode u ovom skupu atributa. Sigurni ste da želite to uraditi?"
"New Set Name","Nov skup imena"
"Edit Attribute Set '%1'","Uređivanje skupa atributa „%1”"
Empty,Prazno
"Add Attribute","Dodaj atribut"
"Add New Group","Dodavanje nove grupe"
"Add Group","Dodaj grupu"
"Edit Attribute Set Name","Uređivanje skupa atributa imena „%1”"
"For internal use","Za internu upotrebu"
"Based On","Zasnovano Na"
"Add New Attribute Set","Dodaj novi skup atributa"
"Add Attribute Set","Dodaj skup atributa"
"Attribute Sets","Atributi skupa"
"Close Window","Zatvori prozor"
"New Product","Novi proizvod"
"Save & Edit","Čuvanje i uređivanje"
"Save & New","Sačuvaj i novo"
"Save & Duplicate","Sačuvaj & dupliraj"
"Save & Close","Sačuvaj i zatvori"
Change,Promena
"Advanced Inventory","Napredne zaliha"
Websites,"Web stranice"
"Products Information","Informacije o proizvodima"
"Create Category","Napravi kategoriju"
"Category Name","Naziv kategorije"
"Parent Category","Matična kategorija"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products > Categories</a>.","Ako ne postoje prilagođene nadređene kategorije, molimo koristite podrazumevane nadređene kategorije. Možete je u bilo kom trenutku ponovo dodeliti u <a href=""%1"" target=""_blank"">Proizvodi ></a> Kategorije."
"Price Alert Subscriptions","Pretplata na upozorenje cene"
"Stock Alert Subscriptions","Pretplata na upozorenje akcije"
"There are no customers for this alert.","Nema korisnika za ovo upozorenje."
"Subscribe Date","Datum pretplate"
"Last Notified","Poslednji put obavešteni"
"Send Count","Poslati broj"
"New Attribute","Novi atribut"
"Attribute Set","Skup atributa"
"Add New Option","Dodati novu opciju"
"Import Options","Uvoz opcija"
Import,Uvesti
"Add New Row","Dodavanje novog reda"
"Delete Row","Brisanje reda"
"Tier Pricing","Cenovnik za sloj"
"Default Price","Podrazumevana cena"
"ALL GROUPS","SVE GRUPE"
"Add Price","Dodavanje cena"
"Default Values","Podrazumevane vrednosti"
"Related Products","Slični proizvodi"
Up-sells,Up-prodaje
Cross-sells,Cross-prodaje
"Size for %1","Veličina za %1"
"Watermark File for %1","Vodeni žig datoteku za %1"
"Position of Watermark for %1","Položaj vodeni žig za %1"
"Name in %1","Ime u %1"
"Change Status","Promena statusa"
"Update Attributes","Ažurirati atribute"
"start typing to search category","počnite da kucate za pretragu kategorija"
"New Category","Nova Kategorija"
"Add New Images","Dodati nove slike"
"Inc. Tax","Iznos sa Pdv"
"Does this have a weight?","Da li ovo ima težinu?"
"Notify Low Stock RSS","Prijavi malu količinu na stanju RSS"
"Low Stock Products","Nisko stanje proizvoda"
"%1 has reached a quantity of %2.","%1 je dostigao količinu od %2."
"Go to Home Page","Idi na početnu stranicu"
"Subscribe to RSS Feed","Prijavi se na RSS Feed"
"Products Comparison List","Lista proizvoda za poređenje"
AM,"Pre podne"
PM,"Posle podne"
"New Products from %1","Novi proizvodi od %1"
"New Products","Novi proizvodi"
"%1 - Special Products","%1 - specijalni proizvodi"
"Click for price","Kliknite za cenu"
"Special Expires On: %1","Specijalna ponuda ističe: %1"
"Price: %1","Cena: %1"
"Special Price: %1","Posebna cena: %1"
"Special Products","Specijalni proizvodi"
"Manage Catalog Categories","Upravljanje katalogom kategorija"
"Manage Categories","Upravljanje kategorijama"
"You deleted the category.","Obrisali ste kategoriju."
"Something went wrong while trying to delete the category.","Došlo je do greške prilikom brisanja kategorije."
Categories,Kategorije
"Category is not available for requested store.","Kategorija nije dostupna za traženu prodavnicu."
"There was a category move error.","Došlo je do greške pri pomeranju kategorije."
"You moved the category.","Premestili ste kategoriju."
"Attribute ""%1"" is required.","Atribut ""%1"" je obavezan."
"You saved the category.","Sačuvali ste kategoriju."
"Something went wrong while saving the category.","Došlo je do greške prilikom snimanja kategorije."
"Please select products for attributes update.","Odaberite proizvode za ažuriranje atributa."
"Please make sure to define SKU values for all processed products.","Uverite se da ste definisali vrednost šifri za sve obrađene proizvode."
"A total of %1 record(s) were updated.","Ukupno %1 zapis(a) je ažurirano."
"Something went wrong while updating the product(s) attributes.","Došlo je do greške prilikom ažuriranja atributa proizvod(a)."
"Unable to add attribute","Nije moguće dodati atribut"
"Please, specify attributes","Molimo, navesti atribute"
"Manage Product Attributes","Upravljanje atributima proizvoda"
"You deleted the product attribute.","Izbrisali ste atribut proizvoda."
"This attribute no longer exists.","Ovaj atribut više ne postoji."
"This attribute cannot be edited.","Ovaj atribut se ne može izmeniti."
"Edit Product Attribute","Izmeniti atribut proizvoda"
"Something went wrong while saving the attribute.","Došlo je do greške prilikom snimanja atributa."
"Attribute code ""%1"" is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Šifra atribut „%1” je nevažeća. Molimo vas da koristite samo slova (a-z), brojeve (0-9) ili donju crtu (_) u ovom polju, prvi znak treba da bude slovo."
"You saved the product attribute.","Sačuvali ste atribut proizvoda."
"An attribute with this code already exists.","Atribut sa ovim kodom već postoji."
"An attribute with the same code (%1) already exists.","Atribut sa istim kodom (%1) već postoji."
"The value of Admin must be unique.","Vrednost atributa Admin mora biti jedinstven."
"The value of Admin scope can't be empty.","Vrednost admin područja ne može biti prazno."
"You duplicated the product.","Duplirali ste proizvod."
"This product doesn't exist.","Ovaj proizvod ne postoji."
"Invalid product id. Should be numeric value greater than 0","Nevažeći id proizvoda. Mora biti broj veći od 0"
"A group with the same name already exists.","Grupa sa istim nazivom već postoji."
"Something went wrong while saving this group.","Došlo je do greške prilikom snimanja atributa."
"A total of %1 record(s) have been deleted.","Ukupno %1 zapis(a) je uklonjeno."
"A total of %1 record(s) have been updated.","Ukupno %1 zapis(a) je promenjeno."
"Something went wrong while updating the product(s) status.","Došlo je do greške prilikom ažuriranja statusa proizvod(a)."
"Unable to save product","Proizvod se ne može sačuvati"
"You saved the product.","Sačuvali ste proizvod."
"SKU for product %1 has been changed to %2.","Šifra za proizvod %1 se promenila na %2."
"The image cannot be removed as it has been assigned to the other image role","Slika nije mogla biti uklonjena zato što je dodeljena drugom pravilu"
"New Attribute Set","Novi skup atributa"
"The attribute set has been removed.","Skup atributa je uklonjen."
"New Set","Novi komplet"
"Manage Product Sets","Upravljanje skupom proizvoda"
"Manage Attribute Sets","Upravljanje skupom atributa"
"This attribute set no longer exists.","Ovaj skup atributa više ne postoji."
"You saved the attribute set.","Sačuvali ste skup atributa."
"Something went wrong while saving the attribute set.","Došlo je do greške prilikom snimanja kompleta atributa."
"You added product %1 to the comparison list.","Dodali ste proizvod %1 u listu za poređenje."
"You cleared the comparison list.","Obrisali ste listu za poređenje."
"Something went wrong  clearing the comparison list.","Došlo je do greške prilikom brisanja liste za poređenje."
"You removed product %1 from the comparison list.","Uklonili ste proizvod %1 iz liste za poređenje."
"1 item","1 stavka"
"%1 items","%1 stavke"
"Are you sure you want to remove this item from your Compare Products list?","Da li ste sigurni da želite da uklonite ovu stavku sa liste za poređenje proizvoda?"
"Are you sure you want to remove all items from your Compare Products list?","Da li ste sigurni da želite da uklonite sve stavke sa liste za poređenje proizvoda?"
"Invalid attribute %1","Nevažeći atribut %1"
Grid,Mreža
List,Lista
"Bad controller interface for showing product","Loš kontroler interfejsa za prikazivanje proizvoda"
"Product is not loaded","Proizvod nije učitan"
"Make sure the To Date is later than or the same as the From Date.","Uverite se da je do datum nakon ili isti kao i od datuma."
"Something went wrong while getting the image url.","Došlo je do greške prilikom snimanja url slike."
"The value of attribute ""%1"" must be unique.","Vrednost atributa „%1” mora biti jedinstven."
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","Podrazumevani listing sortiranja proizvoda ne postoji u listingu sortiranih dostupnih proizvoda."
